Customer_ID,Date,Product,Issue_Type,Channel,Resolution_Time,Satisfaction_Score,Repeat_Contact
C001,2026-01-03,SUV,Billing,Phone,18,4,No
C002,2026-01-03,Sedan,Technical,Email,46,2,Yes
C003,2026-01-04,SUV,Delivery,WhatsApp,31,3,No
C004,2026-01-04,Truck,Technical,Phone,72,2,Yes
C005,2026-01-05,Sedan,Billing,Email,15,5,No
C006,2026-01-05,SUV,Technical,Phone,61,2,Yes
C007,2026-01-06,Truck,Delivery,WhatsApp,27,4,No
C008,2026-01-06,SUV,Billing,Phone,39,3,Yes
C009,2026-01-07,Sedan,Delivery,Email,22,4,No
C010,2026-01-07,Truck,Technical,Phone,85,1,Yes
C011,2026-01-08,SUV,Delivery,WhatsApp,29,4,No
C012,2026-01-08,Sedan,Billing,Email,17,5,No
C013,2026-01-09,Truck,Technical,Phone,58,2,Yes
C014,2026-01-09,SUV,Billing,Email,42,3,No
C015,2026-01-10,Sedan,Technical,Phone,51,3,Yes
C016,2026-01-10,SUV,Delivery,WhatsApp,24,5,No
C017,2026-01-11,Truck,Billing,Phone,33,4,No
C018,2026-01-11,Sedan,Technical,Email,67,2,Yes
C019,2026-01-12,SUV,Billing,Phone,37,3,No
C020,2026-01-12,Truck,Delivery,WhatsApp,19,5,No
C021,2026-01-13,Sedan,Billing,Email,21,4,No
C022,2026-01-13,SUV,Technical,Phone,74,2,Yes
C023,2026-01-14,Truck,Delivery,WhatsApp,26,4,No
C024,2026-01-14,Sedan,Technical,Phone,63,2,Yes
C025,2026-01-15,SUV,Billing,Email,14,5,No
C026,2026-01-15,Truck,Technical,Phone,81,1,Yes
C027,2026-01-16,Sedan,Delivery,WhatsApp,28,4,No
C028,2026-01-16,SUV,Technical,Phone,56,3,Yes
C029,2026-01-17,Truck,Billing,Email,36,3,No
C030,2026-01-17,Sedan,Delivery,WhatsApp,23,5,No
