Customer_ID,Date,Product,Issue_Type,Channel,Resolution_Time,Satisfaction_Score,Repeat_Contact
C001,2026-01-03,SUV,Billing,Phone,18,4,No
C002,2026-01-03,Sedan,Technical,Email,46,2,Yes
C003,2026-01-04,SUV,Delivery,WhatsApp,31,3,No
C004,2026-01-04,Truck,Technical,Phone,72,2,Yes
C005,2026-01-05,Sedan,Billing,Email,15,5,No
C006,2026-01-05,SUV,Technical,Phone,61,2,Yes
C007,2026-01-06,Truck,Delivery,WhatsApp,27,4,No
C008,2026-01-06,SUV,Billing,Phone,39,3,Yes
C009,2026-01-07,Sedan,Delivery,Email,22,4,No
C010,2026-01-07,Truck,Technical,Phone,85,1,Yes
C011,2026-01-08,SUV,Delivery,WhatsApp,29,4,No
C012,2026-01-08,Sedan,Billing,Email,17,5,No
C013,2026-01-09,Truck,Technical,Phone,58,2,Yes
C014,2026-01-09,SUV,Billing,Email,42,3,No
C015,2026-01-10,Sedan,Technical,Phone,51,3,Yes
C016,2026-01-10,SUV,Delivery,WhatsApp,24,5,No
C017,2026-01-11,Truck,Billing,Phone,33,4,No
C018,2026-01-11,Sedan,Technical,Email,67,2,Yes
C019,2026-01-12,SUV,Billing,Phone,37,3,No
C020,2026-01-12,Truck,Delivery,WhatsApp,19,5,No
C021,2026-01-13,Sedan,Billing,Email,21,4,No
C022,2026-01-13,SUV,Technical,Phone,74,2,Yes
C023,2026-01-14,Truck,Delivery,WhatsApp,26,4,No
C024,2026-01-14,Sedan,Technical,Phone,63,2,Yes
C025,2026-01-15,SUV,Billing,Email,14,5,No
C026,2026-01-15,Truck,Technical,Phone,81,1,Yes
C027,2026-01-16,Sedan,Delivery,WhatsApp,28,4,No
C028,2026-01-16,SUV,Technical,Phone,56,3,Yes
C029,2026-01-17,Truck,Billing,Email,36,3,No
C030,2026-01-17,Sedan,Delivery,WhatsApp,23,5,No
C088,2026-01-18,Sedan,Delivery,WhatsApp,31,4,No
C136,2026-01-18,Sedan,Billing,Phone,42,4,No
C143,2026-01-18,Sedan,Technical,Phone,73,2,No
C126,2026-01-19,SUV,Billing,Phone,38,3,No
C212,2026-01-19,Truck,Billing,Phone,36,4,No
C109,2026-01-20,Truck,Delivery,Email,40,3,No
C043,2026-01-21,SUV,Technical,Phone,55,3,No
C053,2026-01-21,Truck,Delivery,Phone,27,3,No
C189,2026-01-21,SUV,Billing,Email,13,4,No
C062,2026-01-22,SUV,Technical,Email,38,3,No
C093,2026-01-22,SUV,Billing,Email,40,4,No
C254,2026-01-23,SUV,Delivery,Email,19,4,No
C038,2026-01-24,Truck,Technical,Email,59,3,No
C185,2026-01-24,Sedan,Delivery,WhatsApp,28,4,No
C057,2026-01-25,Sedan,Delivery,WhatsApp,37,4,No
C220,2026-01-26,Sedan,Billing,WhatsApp,19,3,No
C242,2026-01-29,Truck,Billing,Phone,61,3,No
C124,2026-01-30,Sedan,Technical,WhatsApp,59,2,No
C218,2026-01-30,Sedan,Billing,Phone,18,4,No
C269,2026-01-31,SUV,Technical,Phone,72,3,No
C045,2026-02-01,SUV,Delivery,WhatsApp,17,5,No
C096,2026-02-01,SUV,Billing,Phone,34,5,No
C216,2026-02-02,SUV,Billing,WhatsApp,33,4,No
C290,2026-02-02,Sedan,Technical,WhatsApp,43,4,No
C139,2026-02-03,Sedan,Delivery,WhatsApp,21,5,No
C170,2026-02-04,Truck,Technical,Phone,61,3,Yes
C071,2026-02-05,SUV,Billing,Phone,29,5,No
C221,2026-02-05,Sedan,Billing,WhatsApp,27,5,No
C046,2026-02-07,Sedan,Technical,Phone,58,3,No
C296,2026-02-07,Truck,Technical,Email,24,5,No
C039,2026-02-09,SUV,Technical,Phone,34,4,No
C084,2026-02-09,Sedan,Technical,Email,64,4,No
C133,2026-02-09,SUV,Billing,Phone,39,3,No
C219,2026-02-09,Truck,Technical,Phone,53,5,No
